mp_id,formula,band_gap_eV,is_direct_gap,cbm_vs_vacuum_eV,vbm_vs_vacuum_eV,offset_estimation_method,dielectric_electronic,dielectric_ionic,dielectric_total,refractive_index,energy_above_hull_eV_per_atom,is_stable
mp-989197,GeClF,2.5216000000000003,False,-1.6740691108468932,-4.195669110846893,electronegativity_approx,,,,2.383538201218237,0.3417812995833325,False
mp-990436,ScClO,2.6315,False,-1.1385528094512636,-3.7700528094512635,electronegativity_approx,,,,,0.973269095416665,False
mp-995147,PbBrCl,3.0713999999999997,False,-1.2575613463688513,-4.328961346368851,electronegativity_approx,,,,,0.2575887716666676,False
mp-997016,AgClO2,0.8646999999999999,False,-2.4823262300401274,-3.3470262300401274,electronegativity_approx,,,,,0.23635120625000017,False
mp-997020,CuClO2,0.6614,False,-2.572583140763882,-3.2339831407638826,electronegativity_approx,,,,,0.33969589843750025,False
mp-997026,CuClO2,0.8176,False,-2.4944831407638826,-3.312083140763882,electronegativity_approx,,,,,0.3330041534375008,False
mp-997046,AuClO2,0.8811,False,-2.6812812316042973,-3.5623812316042973,electronegativity_approx,,,,,0.32904946008928615,False
mp-997092,AuClO2,0.8999,True,-2.6718812316042975,-3.571781231604297,electronegativity_approx,,,,,0.3551629338392859,False
mp-1002069,NaLiICl,4.1874,False,0.43002137861317724,-3.757378621386823,electronegativity_approx,,,,,0.1903131068749997,False
mp-1002080,CsLiICl,3.3604000000000003,False,0.08301408535475141,-3.277385914645249,electronegativity_approx,,,,,0.3720865318750004,False
mp-1002081,KNaICl,4.0097000000000005,False,0.41368073985589593,-3.5960192601441046,electronegativity_approx,,,,,0.16933162999999984,False
mp-1002083,CsKICl,4.0996,False,0.5222254447651733,-3.5773745552348264,electronegativity_approx,,,,,0.15701119500000038,False
mp-1008492,BrCl,1.8129,False,-2.1519155765784443,-3.9648155765784443,electronegativity_approx,,,,2.007511976718113,0.0006782575000001678,False
mp-1012551,BaBrCl,4.4843,True,0.2154493811474345,-4.268850618852566,electronegativity_approx,,,,1.851777753043455,0.1632759183333361,False
mp-1018099,Ba2NCl,1.108,True,-1.1068681998883045,-2.2148681998883046,electronegativity_approx,,,,2.268269037540888,0.015742234791666476,False
mp-1018752,LaTeCl,0.6570999999999998,True,-1.6112919823822107,-2.2683919823822105,electronegativity_approx,,,,,0.136441250416655,False
mp-1021327,KLiICl,4.6183,False,0.6970121971208809,-3.9212878028791187,electronegativity_approx,,,,,0.25467599687499964,False
mp-1021431,CsNaICl,3.512,False,0.17958815382904114,-3.3324118461709586,electronegativity_approx,,,,,0.2385986275000005,False
mp-1045028,W3Se2ClO8,0.7252,True,-2.659324727283577,-3.3845247272835772,electronegativity_approx,,,,,0.678731455375746,False
mp-1045211,Mo3Se2ClO8,1.3271,False,-2.301572145228007,-3.628672145228007,electronegativity_approx,,,,,0.33103654636309443,False
mp-1048178,Sb3Se2ClO8,0.5512000000000001,False,-2.656496950304625,-3.2076969503046247,electronegativity_approx,,,,,0.3222183881026819,False
mp-1048225,Bi3Se2ClO8,0.7314999999999999,False,-2.5570988942959674,-3.288598894295967,electronegativity_approx,,,,,0.31361423541666156,False
mp-1048546,V3Se2ClO8,1.6458000000000002,False,-1.9686325731511594,-3.6144325731511597,electronegativity_approx,,,,,0.25192437524351075,False
mp-1066781,BrCl,1.8177999999999999,False,-2.1494655765784443,-3.9672655765784444,electronegativity_approx,,,,,0.0,True
mp-1079156,AgClO2,0.9151,False,-2.4571262300401275,-3.3722262300401273,electronegativity_approx,,,,,0.44229450125000014,False
mp-1080825,C3NCl,2.0220405775686667,False,-1.7459763809379372,-3.768016958506604,electronegativity_approx,,,,,1.6341020165624993,False
mp-1093718,Cs2AuCl,3.1189999999999998,False,0.06345814007099837,-3.0555418599290016,electronegativity_approx,,,,,0.40106195000000167,False
mp-1095181,N3Cl,2.3595,False,-1.8898158770202398,-4.24931587702024,electronegativity_approx,,,,,0.5766182487499991,False
mp-1095429,KUClO3,1.7582999999999998,False,-1.4144053473599263,-3.1727053473599263,electronegativity_approx,,,,,0.11598488000000184,False
mp-1095529,LuH2ClO2,4.8255,True,-0.06225173887148916,-4.887751738871489,electronegativity_approx,,,,,0.050500782499998564,False
mp-1096437,Cs2HCl,2.4176,False,-0.23444807365413523,-2.6520480736541354,electronegativity_approx,,,,,0.4269497375000002,False
mp-1096989,H6CNCl,4.9006,False,0.03691657478367816,-4.863683425216322,electronegativity_approx,,,,,0.06546359444444505,False
mp-1100395,BaBrCl,4.9392,False,0.4428993811474342,-4.496300618852565,electronegativity_approx,,,,,0.1838900400000023,False
mp-1100397,BaAuCl,1.9625999999999997,False,-0.9446142000527955,-2.9072142000527954,electronegativity_approx,,,,,0.4263591916666658,False
mp-1100431,SrBrCl,2.9008000000000003,False,-0.6208576859199257,-3.521657685919926,electronegativity_approx,,,,,0.62709092975,False
